,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
4217,69181,Operations,region_5,Master's & above,m,sourcing,1,39,2.0,12,1,0,63,0
4218,38009,Finance,region_19,Bachelor's,m,other,1,30,4.0,3,1,0,59,0
4219,38603,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,28,2.0,6,0,0,51,0
4220,63645,Operations,region_32,Bachelor's,m,other,1,33,2.0,4,0,0,62,0
4221,12851,Operations,region_22,Bachelor's,m,other,1,39,5.0,14,1,0,63,0
4222,45252,Technology,region_26,Master's & above,f,other,1,37,3.0,7,0,0,78,0
4223,29341,Legal,region_20,Bachelor's,m,sourcing,1,27,3.0,2,0,0,63,0
4224,29139,Operations,region_2,Master's & above,m,sourcing,1,51,3.0,16,0,0,60,0
4225,57649,Operations,region_22,Master's & above,m,other,1,46,3.0,4,1,0,59,0
4226,69669,Sales & Marketing,region_26,,m,other,1,29,5.0,4,0,0,50,0
4227,22129,Technology,region_22,Bachelor's,m,other,4,28,3.0,4,1,0,83,0
4228,41116,R&D,region_26,Bachelor's,m,sourcing,1,37,1.0,3,0,0,80,0
4229,75508,Finance,region_31,Bachelor's,m,other,1,26,3.0,2,0,0,63,0
4230,35550,Sales & Marketing,region_11,Master's & above,m,sourcing,1,32,3.0,5,0,0,49,0
4231,36960,Sales & Marketing,region_2,Master's & above,f,other,1,42,3.0,4,1,0,49,0
4232,74191,Sales & Marketing,region_13,Master's & above,m,other,1,45,2.0,7,0,0,52,0
4233,42140,Procurement,region_11,Bachelor's,f,sourcing,1,29,5.0,4,1,0,75,0
4234,24124,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,55,4.0,13,0,0,48,0
4235,42839,Operations,region_2,Bachelor's,f,sourcing,1,57,5.0,16,1,0,62,0
4236,43383,Sales & Marketing,region_31,Master's & above,m,sourcing,1,41,4.0,5,0,0,47,0
4237,71767,Operations,region_2,Bachelor's,f,sourcing,1,41,4.0,5,0,0,61,0
4238,44912,Sales & Marketing,region_24,Bachelor's,m,other,1,25,,1,0,0,47,0
4239,71953,Procurement,region_2,Bachelor's,m,other,1,53,4.0,18,0,0,74,0
4240,19549,Sales & Marketing,region_10,Bachelor's,m,sourcing,1,29,2.0,4,0,0,47,0
4241,6303,Procurement,region_11,Master's & above,m,sourcing,1,35,5.0,8,1,0,68,0
4242,11869,Technology,region_2,Below Secondary,m,sourcing,1,25,4.0,3,0,0,76,0
4243,66613,Sales & Marketing,region_13,,m,other,1,33,1.0,4,1,1,52,0
4244,26419,Operations,region_16,Bachelor's,f,other,1,49,3.0,8,0,0,57,0
4245,21203,Procurement,region_31,Master's & above,f,other,1,33,5.0,6,0,0,67,0
4246,49493,Sales & Marketing,region_3,Bachelor's,m,other,1,31,5.0,6,1,0,50,0
4247,49759,Analytics,region_26,Bachelor's,m,sourcing,3,28,3.0,6,0,0,81,0
4248,11813,Procurement,region_17,Bachelor's,f,other,1,26,5.0,3,1,0,72,0
4249,10051,Operations,region_16,Bachelor's,m,sourcing,1,27,5.0,4,0,0,62,0
4250,41877,Technology,region_2,Master's & above,f,sourcing,1,45,2.0,20,0,0,77,0
4251,71604,Operations,region_22,Bachelor's,f,other,1,26,,1,1,0,59,0
4252,34010,Operations,region_17,Bachelor's,m,other,1,37,4.0,10,1,0,62,0
4253,28814,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,49,4.0,17,0,0,47,0
4254,45030,Operations,region_2,Below Secondary,m,other,1,23,,1,1,0,62,0
4255,55006,Sales & Marketing,region_10,Master's & above,m,sourcing,1,40,3.0,6,0,0,51,0
4256,49246,Sales & Marketing,region_2,,m,sourcing,1,31,3.0,4,0,0,53,0
4257,3293,Technology,region_7,Bachelor's,m,sourcing,1,32,4.0,6,1,0,83,0
4258,30882,HR,region_22,Bachelor's,f,referred,1,29,3.0,4,1,0,49,1
4259,77037,Operations,region_12,Bachelor's,m,sourcing,1,28,,1,0,0,62,0
4260,26135,Technology,region_5,Bachelor's,m,other,1,24,3.0,2,0,0,83,0
4261,219,Operations,region_15,Bachelor's,m,other,1,41,4.0,6,1,0,52,0
4262,57764,Finance,region_2,Bachelor's,m,other,1,35,5.0,2,0,0,62,0
4263,20419,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,39,3.0,10,0,0,46,0
4264,32766,Sales & Marketing,region_28,Master's & above,m,other,1,35,2.0,3,1,0,46,1
4265,57716,Analytics,region_29,Bachelor's,m,sourcing,1,28,,1,1,0,82,0
4266,77987,HR,region_2,Master's & above,m,sourcing,1,50,5.0,6,0,0,49,0
4267,3691,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,49,3.0,7,0,0,50,0
4268,4739,Operations,region_7,Master's & above,m,other,1,56,4.0,23,0,0,57,0
4269,33603,Sales & Marketing,region_15,,m,sourcing,1,30,1.0,7,0,0,48,0
4270,14397,Operations,region_15,Bachelor's,m,sourcing,1,37,3.0,11,0,0,62,0
4271,14286,Operations,region_13,Bachelor's,m,other,1,30,5.0,3,1,0,91,1
4272,212,Analytics,region_2,Bachelor's,f,sourcing,1,32,1.0,5,0,0,87,0
4273,65598,Sales & Marketing,region_13,Bachelor's,m,other,1,20,,1,0,0,48,0
4274,209,HR,region_2,Bachelor's,m,other,1,44,3.0,15,0,0,48,0
4275,71467,Technology,region_26,Below Secondary,m,other,1,25,,1,0,0,97,1
4276,32716,Technology,region_17,Bachelor's,m,other,1,34,3.0,9,0,0,83,0
4277,27476,Technology,region_25,Bachelor's,m,other,3,29,3.0,7,0,0,77,0
4278,4923,Sales & Marketing,region_8,Bachelor's,m,other,1,33,2.0,4,1,0,48,0
4279,14140,Finance,region_2,Bachelor's,m,other,2,56,3.0,14,0,0,60,0
4280,61274,HR,region_28,Bachelor's,m,other,1,34,2.0,5,0,0,48,0
4281,39793,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,36,1.0,7,0,0,52,0
4282,38679,Operations,region_2,Master's & above,f,other,1,34,4.0,9,1,0,63,0
4283,40179,Procurement,region_2,Bachelor's,f,other,1,39,5.0,11,0,0,69,0
4284,17510,Procurement,region_15,Master's & above,f,sourcing,1,48,5.0,9,1,0,72,1
4285,59886,Technology,region_5,Bachelor's,m,sourcing,1,28,,1,0,0,76,0
4286,75908,Analytics,region_2,Bachelor's,m,sourcing,1,51,3.0,8,0,0,85,0
4287,60386,Sales & Marketing,region_13,Bachelor's,m,other,1,24,1.0,3,0,0,54,0
4288,12402,Technology,region_22,Bachelor's,m,sourcing,1,27,4.0,5,0,0,82,0
4289,54041,Operations,region_22,Bachelor's,m,sourcing,1,28,5.0,3,0,0,59,0
4290,55473,Operations,region_7,Master's & above,f,sourcing,1,34,5.0,4,1,0,96,1
4291,4428,Operations,region_1,Bachelor's,m,sourcing,1,27,,1,1,0,58,0
4292,51466,Analytics,region_22,Bachelor's,m,sourcing,2,28,4.0,5,1,0,85,0
4293,31488,Analytics,region_2,Bachelor's,f,sourcing,2,31,5.0,5,0,0,86,0
4294,9436,Procurement,region_2,Bachelor's,f,sourcing,1,25,5.0,2,1,0,72,0
4295,66019,Procurement,region_2,Bachelor's,f,sourcing,2,47,5.0,6,1,0,66,0
4296,60938,Operations,region_2,Bachelor's,m,other,1,54,3.0,26,0,0,59,0
4297,71021,Finance,region_2,Bachelor's,m,other,2,33,5.0,5,0,0,68,1
4298,21458,Sales & Marketing,region_20,Bachelor's,m,other,1,28,,1,1,0,53,0
4299,50514,Sales & Marketing,region_7,Bachelor's,m,other,1,27,4.0,3,1,0,52,1
4300,78192,Technology,region_7,Bachelor's,m,other,1,33,3.0,7,1,0,77,0
4301,51052,Sales & Marketing,region_13,Master's & above,m,sourcing,1,32,4.0,4,1,0,51,1
4302,8592,Sales & Marketing,region_2,Bachelor's,m,other,1,38,3.0,9,0,0,50,0
4303,53624,Sales & Marketing,region_7,Master's & above,f,other,1,44,1.0,17,0,0,52,0
4304,29357,Operations,region_16,Master's & above,f,sourcing,1,39,4.0,5,0,0,60,0
4305,65561,Technology,region_26,Master's & above,m,sourcing,1,38,3.0,4,0,0,82,0
4306,16273,Procurement,region_31,Bachelor's,m,other,1,29,5.0,7,1,0,72,0
4307,9358,Technology,region_2,Bachelor's,m,referred,1,37,4.0,8,0,0,81,0
4308,292,Procurement,region_2,Bachelor's,m,sourcing,1,39,1.0,11,0,0,67,0
4309,10347,Procurement,region_26,Bachelor's,f,other,1,25,,1,0,0,69,0
4310,26860,Sales & Marketing,region_22,Master's & above,m,other,1,47,1.0,2,1,0,49,0
4311,13489,Analytics,region_19,Bachelor's,m,other,2,35,4.0,10,0,0,82,0
4312,7024,Operations,region_15,Bachelor's,f,sourcing,1,34,3.0,2,0,0,55,0
4313,34868,Sales & Marketing,region_15,Bachelor's,m,other,3,38,4.0,9,0,0,50,0
4314,32230,Technology,region_20,Bachelor's,m,sourcing,1,27,,1,0,0,79,0
4315,61163,HR,region_7,Master's & above,m,sourcing,1,36,3.0,8,0,0,49,0
4316,37959,Sales & Marketing,region_13,Master's & above,f,sourcing,1,33,3.0,9,0,0,45,0
4317,30705,Sales & Marketing,region_26,Bachelor's,m,other,1,34,5.0,5,1,0,50,0
4318,58993,Operations,region_22,Bachelor's,m,other,1,27,5.0,5,0,0,60,0
4319,107,Sales & Marketing,region_16,Master's & above,f,other,1,36,2.0,9,0,1,52,0
4320,42792,Analytics,region_29,Bachelor's,m,sourcing,1,33,5.0,6,1,0,82,0
4321,32262,Analytics,region_28,Master's & above,m,sourcing,2,34,3.0,3,0,0,82,1
4322,31421,Procurement,region_2,Below Secondary,f,other,1,26,5.0,3,1,0,69,0
4323,51377,Finance,region_7,Bachelor's,m,other,1,31,2.0,9,0,0,59,0
4324,56060,Finance,region_2,Bachelor's,m,other,1,32,1.0,4,1,0,65,1
4325,75387,Analytics,region_26,Bachelor's,f,sourcing,1,29,1.0,3,0,0,85,0
4326,23309,Operations,region_32,Bachelor's,f,sourcing,1,33,3.0,6,0,0,65,0
4327,55870,Operations,region_15,Bachelor's,m,sourcing,1,44,3.0,6,0,0,58,0
4328,57735,Legal,region_2,Bachelor's,m,other,1,30,5.0,1,1,0,56,1
4329,75323,Sales & Marketing,region_13,Bachelor's,f,other,1,30,5.0,3,1,0,53,0
4330,1730,HR,region_23,Master's & above,f,other,1,38,2.0,6,0,0,53,0
4331,24950,Legal,region_22,Bachelor's,f,sourcing,1,31,3.0,4,0,0,61,0
4332,64575,Sales & Marketing,region_15,Bachelor's,m,other,1,32,2.0,8,0,0,53,0
4333,57947,Sales & Marketing,region_23,Master's & above,m,sourcing,3,34,3.0,4,0,0,53,0
4334,36781,Technology,region_26,Bachelor's,f,other,1,39,4.0,7,0,0,77,0
4335,75732,Sales & Marketing,region_31,Bachelor's,f,sourcing,1,30,1.0,4,0,0,48,0
4336,444,Sales & Marketing,region_22,Bachelor's,m,referred,1,27,1.0,5,1,0,50,0
4337,2460,Operations,region_2,Bachelor's,m,other,1,23,,1,0,0,61,0
4338,45379,Sales & Marketing,region_2,Bachelor's,m,referred,1,37,5.0,7,1,0,49,0
4339,67377,Sales & Marketing,region_25,Bachelor's,m,other,1,28,3.0,2,1,0,51,0
4340,49007,Technology,region_2,Bachelor's,m,sourcing,1,28,4.0,2,1,0,80,0
4341,34183,Operations,region_10,Bachelor's,m,sourcing,1,37,3.0,10,1,0,57,0
4342,28997,Analytics,region_13,Bachelor's,m,other,1,29,5.0,6,1,0,82,0
4343,58853,Operations,region_29,Bachelor's,m,other,1,31,3.0,7,0,0,59,0
4344,7259,Operations,region_15,Master's & above,m,other,1,39,4.0,3,1,0,60,0
4345,10795,Sales & Marketing,region_22,Master's & above,m,sourcing,1,44,5.0,12,0,0,48,0
4346,30235,Analytics,region_11,Master's & above,m,sourcing,1,39,3.0,9,1,0,88,0
4347,15842,Operations,region_3,Bachelor's,f,other,1,42,2.0,6,0,0,58,0
4348,66923,Analytics,region_25,Bachelor's,m,other,2,28,5.0,3,0,0,88,1
4349,31176,Operations,region_7,Bachelor's,f,sourcing,1,41,3.0,11,0,0,65,0
4350,13240,Analytics,region_22,Master's & above,m,other,3,34,5.0,4,0,0,86,0
4351,40023,Analytics,region_22,Bachelor's,m,sourcing,3,29,2.0,5,1,0,87,0
4352,3202,Procurement,region_27,Bachelor's,m,sourcing,2,29,1.0,2,0,0,71,0
4353,58363,Sales & Marketing,region_2,Bachelor's,m,other,1,35,5.0,10,0,0,50,0
4354,11623,Sales & Marketing,region_27,Master's & above,m,sourcing,1,38,1.0,7,1,1,49,0
4355,9009,Procurement,region_31,Bachelor's,m,other,1,38,4.0,2,0,0,70,0
4356,29043,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,36,5.0,7,1,0,49,0
4357,40545,Operations,region_7,Bachelor's,f,other,2,33,5.0,4,1,0,60,0
4358,9109,Technology,region_2,Bachelor's,m,referred,1,40,4.0,14,1,0,78,0
4359,66857,HR,region_7,Master's & above,f,sourcing,1,35,5.0,3,0,0,48,0
4360,10933,Procurement,region_30,Bachelor's,f,other,1,33,1.0,2,0,0,72,0
4361,5029,HR,region_22,Master's & above,m,other,2,33,4.0,5,0,0,50,0
4362,40554,Sales & Marketing,region_13,Bachelor's,m,sourcing,2,31,1.0,4,0,0,47,0
4363,55581,Operations,region_21,Bachelor's,m,sourcing,1,34,3.0,5,0,0,61,0
4364,72231,Technology,region_24,Bachelor's,m,other,1,29,3.0,6,0,0,77,0
4365,21895,Technology,region_7,Master's & above,m,other,2,32,2.0,4,0,0,80,0
4366,23048,Sales & Marketing,region_5,Bachelor's,m,sourcing,1,31,3.0,6,0,0,48,0
4367,10014,Sales & Marketing,region_15,Master's & above,f,sourcing,1,34,1.0,7,0,0,45,0
4368,45733,Technology,region_2,Bachelor's,f,referred,1,33,3.0,6,0,0,83,0
4369,65326,Sales & Marketing,region_2,Master's & above,f,sourcing,1,36,3.0,8,1,0,49,0
4370,68687,Sales & Marketing,region_11,Bachelor's,m,other,1,30,4.0,7,0,0,54,0
4371,12963,Technology,region_25,Master's & above,m,sourcing,1,36,4.0,10,0,0,82,0
4372,47759,Finance,region_15,Bachelor's,m,sourcing,1,34,2.0,7,1,0,60,0
4373,70149,Sales & Marketing,region_25,Master's & above,m,sourcing,1,36,5.0,4,1,0,45,0
4374,58218,HR,region_17,Bachelor's,m,sourcing,1,27,3.0,4,1,0,57,0
4375,42709,Operations,region_2,Bachelor's,f,other,1,41,3.0,13,1,0,63,0
4376,13201,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,44,2.0,13,0,0,47,0
4377,4235,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,34,3.0,9,0,0,51,0
4378,56553,Sales & Marketing,region_1,Master's & above,m,sourcing,1,33,3.0,7,0,0,59,1
4379,28115,Procurement,region_13,Bachelor's,m,other,1,33,1.0,6,1,0,67,0
4380,44017,Sales & Marketing,region_11,Bachelor's,m,other,1,32,5.0,5,1,0,52,0
4381,42807,HR,region_2,Bachelor's,m,sourcing,1,45,5.0,5,1,0,49,0
4382,23690,Procurement,region_23,Bachelor's,m,sourcing,1,35,1.0,8,0,0,74,0
4383,8340,Technology,region_20,Bachelor's,m,sourcing,1,28,4.0,4,0,1,90,1
4384,61500,HR,region_32,Bachelor's,f,other,1,33,3.0,2,0,0,55,0
4385,50459,Procurement,region_31,Bachelor's,m,other,2,27,5.0,2,0,0,71,0
4386,30669,Sales & Marketing,region_7,Master's & above,m,other,1,31,4.0,7,1,0,52,0
4387,7452,Sales & Marketing,region_12,Bachelor's,m,other,1,28,,1,1,0,54,0
4388,38788,Sales & Marketing,region_7,Master's & above,f,sourcing,1,35,1.0,7,0,0,52,0
4389,69597,HR,region_2,Bachelor's,f,other,1,28,,1,0,0,51,0
4390,5293,Technology,region_22,Bachelor's,m,other,1,39,1.0,3,0,0,81,0
4391,11874,Legal,region_22,Bachelor's,m,other,1,30,5.0,2,1,0,57,0
4392,51482,HR,region_4,Master's & above,f,other,1,32,3.0,6,0,0,53,0
4393,16274,Operations,region_31,Bachelor's,f,sourcing,1,36,3.0,8,0,0,61,0
4394,29576,Technology,region_28,Master's & above,m,other,2,34,4.0,6,1,0,80,0
4395,21125,Analytics,region_2,Master's & above,m,sourcing,1,52,3.0,23,0,0,90,0
4396,44310,Operations,region_22,Master's & above,f,other,3,32,3.0,4,1,0,59,1
4397,8587,R&D,region_7,Master's & above,m,other,2,36,5.0,4,1,0,82,0
4398,25253,Sales & Marketing,region_27,Bachelor's,m,other,1,31,,1,1,0,53,0
4399,13880,Operations,region_13,Master's & above,f,sourcing,2,35,3.0,7,0,0,60,0
4400,17559,Operations,region_2,Bachelor's,m,other,1,59,4.0,13,1,0,61,0
4401,35138,Sales & Marketing,region_28,Bachelor's,m,other,5,33,1.0,5,0,0,51,0
4402,74517,Sales & Marketing,region_34,Bachelor's,m,other,1,26,1.0,2,1,0,45,0
4403,6581,Sales & Marketing,region_26,Bachelor's,f,other,1,30,3.0,3,1,0,51,0
4404,63338,Analytics,region_11,Bachelor's,m,other,1,29,5.0,7,1,0,85,0
4405,59829,Analytics,region_5,Master's & above,m,sourcing,2,39,5.0,6,1,0,86,0
4406,23257,Sales & Marketing,region_1,Master's & above,f,sourcing,1,33,5.0,5,0,0,60,1
4407,60814,Operations,region_16,Bachelor's,m,sourcing,1,42,4.0,11,0,0,64,0
4408,25068,Sales & Marketing,region_25,Master's & above,m,sourcing,1,40,1.0,8,1,0,48,0
4409,50288,Finance,region_7,Bachelor's,m,sourcing,1,35,2.0,7,0,0,60,0
4410,6330,Operations,region_13,Master's & above,f,sourcing,2,35,5.0,2,1,0,56,1
4411,63847,Procurement,region_15,Bachelor's,f,sourcing,1,32,3.0,4,0,0,69,0
4412,41900,Sales & Marketing,region_2,,m,other,2,25,3.0,2,0,0,53,0
4413,14591,HR,region_28,Bachelor's,f,sourcing,1,34,3.0,4,1,0,49,0
4414,28367,Analytics,region_7,Bachelor's,m,other,1,31,3.0,6,0,0,82,0
4415,70681,Sales & Marketing,region_12,Bachelor's,m,other,1,28,3.0,4,0,0,48,0
4416,70384,Analytics,region_11,Bachelor's,m,other,1,27,3.0,5,0,0,83,0
4417,62599,Technology,region_13,Bachelor's,f,sourcing,3,29,,1,1,0,82,0
4418,15501,Sales & Marketing,region_7,Bachelor's,m,other,1,33,5.0,7,0,0,48,0
4419,31812,Legal,region_11,Bachelor's,m,other,1,32,5.0,1,1,0,57,0
4420,66153,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,44,3.0,17,0,0,50,0
4421,15730,Procurement,region_16,Bachelor's,m,other,1,33,5.0,5,0,0,70,0
4422,50318,Operations,region_2,Master's & above,m,sourcing,2,40,5.0,10,1,0,60,0
4423,21796,Sales & Marketing,region_12,Bachelor's,m,other,4,27,2.0,5,1,0,47,0
4424,5,Analytics,region_7,Master's & above,m,other,2,46,3.0,7,0,0,86,0
4425,43250,Technology,region_2,Bachelor's,f,sourcing,1,31,3.0,3,0,0,78,0
4426,3299,R&D,region_22,Bachelor's,m,other,1,29,3.0,4,0,0,82,0
4427,44553,Operations,region_12,Bachelor's,f,other,1,31,3.0,4,1,0,57,0
4428,37372,Sales & Marketing,region_2,Master's & above,m,other,1,43,4.0,13,0,0,62,1
4429,18761,Analytics,region_31,Bachelor's,m,sourcing,1,28,3.0,5,0,0,86,0
4430,20355,R&D,region_2,Bachelor's,m,sourcing,2,34,5.0,8,1,0,84,0
4431,55835,Sales & Marketing,region_13,Bachelor's,f,sourcing,1,32,5.0,4,1,0,52,0
4432,59041,Analytics,region_19,Bachelor's,m,sourcing,1,37,3.0,4,0,0,88,0
4433,4832,Sales & Marketing,region_2,Bachelor's,m,other,1,54,2.0,4,0,0,50,0
4434,66424,Technology,region_2,Bachelor's,f,sourcing,2,23,4.0,1,1,0,81,0
4435,68720,Procurement,region_2,Bachelor's,m,sourcing,1,54,5.0,22,1,0,70,0
4436,27295,Sales & Marketing,region_7,Master's & above,m,sourcing,1,55,3.0,7,0,0,51,0
4437,13703,Analytics,region_25,Bachelor's,m,other,1,29,3.0,3,1,0,85,0
4438,3855,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,32,3.0,6,0,0,50,0
4439,70409,Operations,region_2,Bachelor's,f,other,1,35,4.0,10,0,0,62,0
4440,26767,Operations,region_22,Bachelor's,f,other,1,26,2.0,2,0,0,55,0
4441,32075,Analytics,region_22,Bachelor's,m,other,2,28,5.0,2,1,0,79,1
4442,29821,Sales & Marketing,region_27,Bachelor's,m,other,1,35,3.0,3,0,0,58,1
4443,71642,Operations,region_7,Bachelor's,f,sourcing,1,44,5.0,7,1,0,61,0
4444,57012,Sales & Marketing,region_15,Bachelor's,m,other,2,30,2.0,3,1,0,47,0
4445,6957,Sales & Marketing,region_2,Bachelor's,m,referred,1,37,5.0,2,0,0,50,0
4446,75829,Technology,region_2,Bachelor's,f,other,1,48,5.0,10,1,0,80,1
4447,61715,Legal,region_2,Master's & above,m,sourcing,1,60,5.0,12,1,0,63,1
4448,4165,Finance,region_2,Bachelor's,m,sourcing,2,24,3.0,2,0,0,60,0
4449,13755,Operations,region_1,Bachelor's,m,other,1,32,3.0,4,0,0,59,0
4450,53975,Sales & Marketing,region_2,Bachelor's,m,other,1,58,2.0,16,0,0,51,0
4451,64975,Sales & Marketing,region_24,Bachelor's,f,sourcing,1,29,3.0,4,0,0,51,0
4452,28153,Analytics,region_26,Bachelor's,m,other,1,33,5.0,8,1,0,88,0
4453,66116,Sales & Marketing,region_13,Bachelor's,m,other,1,30,3.0,4,0,0,48,0
4454,37731,Finance,region_19,Bachelor's,f,sourcing,1,36,5.0,7,0,0,59,0
4455,16453,Sales & Marketing,region_22,,m,other,1,24,1.0,5,1,0,48,0
4456,66091,Sales & Marketing,region_2,Bachelor's,f,other,2,45,5.0,15,0,0,53,0
4457,34347,Sales & Marketing,region_7,Bachelor's,m,sourcing,2,44,4.0,4,1,0,46,0
4458,26023,Sales & Marketing,region_31,Bachelor's,m,other,2,33,4.0,5,0,0,50,0
4459,24229,Sales & Marketing,region_16,Bachelor's,m,referred,1,31,5.0,6,0,0,51,0
4460,40473,Operations,region_2,Master's & above,m,sourcing,1,43,5.0,7,0,0,54,0
4461,52560,Operations,region_26,Bachelor's,m,other,1,27,4.0,2,0,0,57,0
4462,18415,Analytics,region_7,Master's & above,f,other,1,41,3.0,12,0,0,82,0
4463,17239,Operations,region_2,Master's & above,f,other,1,55,5.0,8,1,0,57,0
4464,70323,Sales & Marketing,region_2,,m,sourcing,1,33,3.0,7,0,0,50,0
4465,40734,Operations,region_13,Bachelor's,m,sourcing,3,32,3.0,6,1,0,60,0
4466,39492,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,24,,1,0,0,52,0
4467,28336,Technology,region_26,Bachelor's,m,other,1,29,4.0,5,1,0,80,0
4468,2003,HR,region_7,Bachelor's,m,other,1,45,3.0,14,0,0,57,0
4469,71108,Finance,region_30,Bachelor's,m,other,1,26,2.0,4,0,0,59,0
4470,30378,Sales & Marketing,region_2,Bachelor's,m,other,1,26,5.0,4,0,1,58,1
4471,78151,Operations,region_2,Bachelor's,m,sourcing,1,38,3.0,10,0,0,62,0
4472,43321,Analytics,region_22,,f,sourcing,1,26,3.0,3,1,0,80,0
4473,63269,Technology,region_27,Bachelor's,m,other,1,26,4.0,4,1,0,81,0
4474,35989,Operations,region_32,Bachelor's,m,sourcing,2,32,5.0,9,1,0,63,0
4475,30191,Technology,region_2,Master's & above,f,other,1,58,3.0,17,1,0,80,0
4476,1495,Operations,region_6,Bachelor's,m,other,1,34,3.0,5,1,0,60,0
4477,20091,Technology,region_13,Bachelor's,f,other,1,29,1.0,2,0,0,78,0
4478,72908,Operations,region_6,Bachelor's,m,sourcing,1,26,1.0,2,0,0,60,0
4479,28229,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,33,1.0,6,0,0,47,0
4480,65869,Sales & Marketing,region_13,Bachelor's,m,other,2,26,2.0,3,0,0,46,0
4481,36515,Operations,region_19,Bachelor's,m,sourcing,1,43,5.0,3,0,0,61,0
4482,65920,Sales & Marketing,region_9,Bachelor's,m,sourcing,1,31,4.0,8,0,0,50,0
4483,43082,Operations,region_2,Master's & above,m,other,1,35,4.0,2,1,0,63,0
4484,10316,Operations,region_13,Bachelor's,f,sourcing,1,27,5.0,5,1,0,59,0
4485,41726,Sales & Marketing,region_15,Master's & above,f,other,1,36,1.0,5,0,0,49,0
4486,4343,Sales & Marketing,region_2,,m,other,1,52,2.0,23,0,0,48,0
4487,69254,Sales & Marketing,region_7,Master's & above,m,other,1,38,5.0,7,1,0,48,1
4488,58715,Technology,region_26,Master's & above,m,other,1,41,4.0,4,1,0,78,0
4489,13204,Procurement,region_2,Master's & above,m,other,1,60,3.0,15,0,0,67,0
4490,30717,Procurement,region_28,Master's & above,f,sourcing,3,37,3.0,6,1,0,73,0
4491,7905,Sales & Marketing,region_28,Master's & above,m,other,1,34,4.0,7,0,0,49,0
4492,73183,Operations,region_13,Bachelor's,f,other,1,27,3.0,1,0,0,59,0
4493,6612,Finance,region_20,Bachelor's,m,sourcing,1,33,5.0,5,0,1,97,1
4494,54405,Technology,region_7,Bachelor's,f,sourcing,1,32,1.0,8,0,0,80,0
4495,48378,Operations,region_2,Bachelor's,m,sourcing,1,40,5.0,11,1,0,60,1
4496,77639,Operations,region_8,Master's & above,f,other,1,38,3.0,3,0,0,57,0
4497,33553,HR,region_5,Bachelor's,m,sourcing,1,33,3.0,8,0,0,52,0
4498,37976,Technology,region_13,Bachelor's,m,other,1,38,3.0,7,1,0,81,0
4499,7397,Technology,region_12,Bachelor's,f,other,2,26,,1,0,0,78,0
4500,62584,R&D,region_2,Master's & above,m,sourcing,1,36,5.0,3,1,0,85,0
4501,71979,Sales & Marketing,region_4,Master's & above,m,sourcing,1,32,5.0,7,1,0,52,1
4502,39734,Sales & Marketing,region_4,Master's & above,m,other,1,34,3.0,7,1,0,48,0
4503,25816,Sales & Marketing,region_2,Bachelor's,m,other,2,30,1.0,4,0,0,49,0
4504,40488,Procurement,region_15,Master's & above,m,sourcing,1,52,3.0,17,0,0,73,0
4505,72393,Sales & Marketing,region_25,Bachelor's,m,other,5,31,3.0,6,0,0,52,0
4506,37875,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,26,4.0,3,0,0,54,0
4507,55285,Technology,region_22,Master's & above,m,sourcing,1,35,3.0,8,0,0,78,0
4508,67206,Operations,region_32,Bachelor's,m,other,1,26,,1,0,0,58,0
4509,42144,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,43,5.0,10,1,0,49,0
4510,71740,Procurement,region_2,Bachelor's,f,sourcing,1,27,3.0,2,1,1,70,0
4511,16946,Operations,region_29,Bachelor's,f,other,1,34,5.0,2,1,0,61,0
4512,16167,Procurement,region_2,Bachelor's,f,other,1,42,1.0,6,0,0,68,0
4513,3783,Sales & Marketing,region_30,Bachelor's,f,sourcing,1,35,2.0,8,0,0,51,0
4514,7181,Procurement,region_7,Bachelor's,f,sourcing,1,29,4.0,1,1,0,63,0
4515,45487,Sales & Marketing,region_11,Bachelor's,m,other,2,42,3.0,3,0,0,49,0
4516,74008,Procurement,region_30,Bachelor's,m,other,1,31,5.0,3,1,1,64,0
4517,62709,Procurement,region_6,Bachelor's,m,other,3,25,3.0,4,0,0,65,0
4518,32133,Operations,region_31,Master's & above,f,sourcing,1,37,5.0,10,1,0,58,0
4519,65916,Technology,region_22,Bachelor's,m,other,2,31,2.0,6,0,0,76,0
4520,68468,Operations,region_27,Master's & above,m,other,1,41,5.0,6,1,0,60,0
4521,25013,HR,region_7,Bachelor's,m,other,1,32,3.0,3,0,0,48,0
